Economy Name,Economy Code,Status BIPM,RMO,ISO Membership,IEC Membership,GQII Scores,GQII Rank,CMC Coverage,CIPM - Cons. Committees,Key Comparisons,Supplementary Comparisons,Count Calibration,ISO - TC Observing,ISO - TC Participating,IEC Observing Member,IEC Participating Member,ISO MS Certificates,CAB Coverage*,Count Product Certification,Count Management System Certification,Count Testing
"Macao, China",MAC,,,Correspondent member,,0.2839,152,0%,,,,3,12,,,,341,0%,0,0,11
Madagascar,MDG,,,Correspondent member,Affiliate,0.3942,116,0%,,,,0,1,3,,,85,6%,0,0,2
Malawi,MWI,,,Member body,Affiliate,0.4480,103,0%,,,,1,11,6,,,43,24%,0,1,2
Malaysia,MYS,Member State,APMP,Member body,Full Member,0.8486,29,89%,0%,73,27,111,126,180,57,41,"13,955",82%,29,132,636
Maldives,MDV,,,,,0.2210,164,0%,,,,0,,,,,47,0%,0,0,1
Mali,MLI,,,Member body,Affiliate,0.3671,122,0%,,,,0,11,13,,,40,6%,0,0,7
Malta,MLT,Associate of the CGPM,EURAMET,Member body,Associate Member,0.4676,96,0%,,4,3,3,37,20,0,2,316,18%,0,3,16
Mauritania,MRT,,,Correspondent member,Affiliate,0.2957,147,0%,,,,,7,4,,,8,0%,,,2
Mauritius,MUS,Associate of the CGPM,AFRIMETS,Member body,Affiliate,0.5397,79,0%,,2,3,4,59,24,,,248,35%,0,1,24
Mexico,MEX,Member State,SIM,Member body,Full Member,0.9112,18,100%,80%,223,76,570,85,66,58,36,"10,192",88%,88,97,"1,274"
"Moldova, Republic of",MDA,Associate of the CGPM,EURAMET,Correspondent member,Associate Member,0.5564,73,44%,,6,19,3,44,,0,0,146,41%,12,2,63
Mongolia,MNG,Associate of the CGPM,APMP,Member body,Affiliate,0.5308,82,11%,,4,4,4,216,35,,,93,18%,0,2,6
Montenegro,MNE,Member State,EURAMET,Member body,Associate Member,0.5581,71,33%,0%,8,8,3,63,4,0,0,546,59%,2,3,28
Morocco,MAR,Member State,AFRIMETS,Member body,Associate Member,0.5719,70,11%,0%,1,3,51,74,29,0,4,"1,549",29%,1,1,134
Mozambique,MOZ,,,Correspondent member,Affiliate,0.4217,107,0%,,,,2,9,,,,60,6%,1,0,17
Myanmar,MMR,,,Correspondent member,Affiliate,0.3201,137,0%,,,,,9,,,,265,0%,,,5
Namibia,NAM,Associate of the CGPM,AFRIMETS,Member body,Affiliate,0.4939,93,11%,,0,3,1,15,14,,,49,29%,0,1,6
Nepal,NPL,,,Member body,Affiliate,0.3709,121,0%,,,,0,7,3,,,143,12%,1,1,1
Netherlands,NLD,Member State,EURAMET,Member body,Full Member,0.9129,17,89%,75%,233,74,63,179,446,38,133,"13,564",88%,66,61,256
New Zealand,NZL,Member State,APMP,Member body,Full Member,0.8031,43,67%,40%,62,13,51,139,70,110,15,"1,790",76%,9,7,510
Nicaragua,NIC,,,Correspondent member,Affiliate,0.3655,123,0%,,,,4,2,,,,43,18%,0,0,14
Niger,NER,,,Correspondent member,Affiliate,0.3004,144,0%,,,,0,5,,,,15,0%,0,0,1
Nigeria,NGA,,,Member body,Full Member,0.5327,80,0%,,,,4,,87,0,2,606,41%,0,3,32
North Macedonia,MKD,Associate of the CGPM,EURAMET,Member body,Associate Member,0.6025,66,22%,,9,11,13,14,4,0,3,"1,352",41%,102,4,70
Norway,NOR,Member State,EURAMET,Member body,Full Member,0.8272,34,67%,20%,49,23,20,80,245,82,96,"4,650",82%,23,54,105
Oman,OMN,Associate of the CGPM,GULFMET,Member body,Full Member,0.5313,81,0%,,0,2,3,22,3,26,1,"1,057",35%,0,1,25
Pakistan,PAK,Member State,APMP,Member body,Full Member,0.7154,50,0%,0%,3,3,13,166,30,42,33,"3,243",59%,1,7,205
Palestinian Territories,PSE,,,Correspondent member,Affiliate,0.3632,125,0%,,,,2,16,,,,98,18%,1,0,30
Panama,PAN,Associate of the CGPM,SIM,Member body,Affiliate,0.4647,97,33%,,8,22,4,23,44,,,266,18%,0,0,34
Papua New Guinea,PNG,,,Correspondent member,Affiliate,0.2952,148,0%,,,,,4,,,,46,0%,,,4
